Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
ARI^A,Apollo Commercial Real Estate Finance,26.28,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ari^a
ARI^C,Apollo Commercial Real Estate Finance,25.43,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ari^c
APO,"Apollo Global Management, LLC",18.52,7422660969,n/a,2011,Finance,Investment Managers,http://www.nasdaq.com/symbol/apo
AIB,Apollo Investment Corporation,26.31,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aib
AIY,Apollo Investment Corporation,26.99,0,n/a,2013,n/a,n/a,http://www.nasdaq.com/symbol/aiy
AFT,Apollo Senior Floating Rate Fund Inc.,16.46,256332584.1,n/a,2011,n/a,n/a,http://www.nasdaq.com/symbol/aft
AIF,Apollo Tactical Income Fund Inc.,15.41,222890640.7,n/a,2013,n/a,n/a,http://www.nasdaq.com/symbol/aif
APLE,"Apple Hospitality REIT, Inc.",18.58,3245382089,n/a,2015,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aple
AIT,"Applied Industrial Technologies, Inc.",48.27,1885288872,n/a,n/a,Consumer Durables,Industrial Specialties,http://www.nasdaq.com/symbol/ait
ATR,"AptarGroup, Inc.",79.21,4985116757,n/a,n/a,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/atr
WTR,"Aqua America, Inc.",31.09,5513188425,n/a,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/wtr
ARMK,Aramark,38.13,9300289330,n/a,2013,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/armk
ABR,Arbor Realty Trust,7.9,405913099.5,n/a,2004,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/abr
ABR^A,Arbor Realty Trust,25.5315,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abr^a
ABR^B,Arbor Realty Trust,25.535,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abr^b
ABR^C,Arbor Realty Trust,26.2697,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abr^c
ABRN,Arbor Realty Trust,25.4,0,n/a,2014,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/abrn
ARC,"ARC Document Solutions, Inc.",3.5,165864674.5,n/a,2004,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/arc
ARCX,Arc Logistic Partners LP,14.9,287507792.5,n/a,2013,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/arcx
MT,ArcelorMittal,6.15,18800550000,n/a,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/mt
ARH^C,Arch Capital Group Ltd.,26.65,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/arh^c
ADM,Archer-Daniels-Midland Company,43.24,25155440638,n/a,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/adm
AROC,"Archrock, Inc.",12.27,854364247.3,n/a,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aroc
